city,calc_time,dni_wm2,dhi_wm2,global_min_wm2,global_p10_wm2,global_median_wm2,global_p90_wm2,global_max_wm2,diffuse_median_wm2
Amsterdam,06-15 14:00:00,800.0,200.0,1.4625689828850323,40.25,712.283885226848,767.2922185601814,804.5905518935147,97.66666666666667
Athens,06-15 14:00:00,800.0,200.0,1.8296630726135397,56.71333333333334,661.5657197349628,730.1857197349628,765.2790530682962,94.0
Barcelona,06-15 14:00:00,800.0,200.0,2.3736113416073694,60.618175312894714,825.2731060310574,852.9404159920157,858.2570826586824,149.31686428775072
Berlin,06-15 14:00:00,800.0,200.0,3.0177434536418377,84.84,568.2923278728471,611.9303021956283,632.2518594561795,130.27344048106428
Madrid,06-15 14:00:00,800.0,200.0,1.7498706061135718,72.64,750.6920735841524,781.6632555096146,801.5280407697683,144.74514207004188
Paris,06-15 14:00:00,800.0,200.0,2.876333500857773,49.910000000000004,297.34104101746965,384.50270768413634,430.43437435080295,85.66666666666667
