,alb_delta,cooling_per_delta,imp_delta,max_cooling,mean_cooling,median_cooling,n_extremes,pct_05deg,pct_1deg,total_delta,tree_delta,veg_delta
max_mean_cooling,0.2,,-0.5,-4.469246903605879,-1.267566672783296,-1.2173971163524155,7475.0,84.26826879122315,61.12453470907072,,0.5000000000000001,0.5000000000000001
max_peak_cooling,0.2,,-0.5,-4.469246903605879,-1.267566672783296,-1.2173971163524155,7475.0,84.26826879122315,61.12453470907072,,0.5000000000000001,0.5000000000000001
max_coverage_1deg,0.0,,-0.5,-4.105226971204565,-1.2080373616669613,-1.2020497408746884,7473.0,83.40842311459353,61.234084231145935,,0.45000000000000007,0.1
safe_conservative,0.2,,-0.5,-4.469246903605879,-1.267566672783296,-1.2173971163524155,7475.0,84.26826879122315,61.12453470907072,,0.5000000000000001,0.5000000000000001
cost_effective,0.0,1.5044267307714339,-0.5,-4.04570464761047,-1.2035413846171472,-1.2005865434337921,7476.0,83.43129571577848,61.18077324973876,0.8,0.2,0.1
