city,n_grid_cells,n_features,voxel_shape,has_global_grid_id,svf_mean,gvi_mean,site_coverage_mean,solar_mean,building_height_mean,processing_time_s
Amsterdam,127838,26,"(300, 301, 16)",True,0.42963074902294446,0.16158375413039433,0.4240966431473167,382.24417752085503,16.526874103624863,58.33532381057739
Athens,127756,26,"(387, 388, 18)",True,0.5814622260147855,0.02934436015521518,0.4195906432748537,537.2566193881652,14.93417047722866,77.19503688812256
Barcelona,134480,26,"(368, 370, 53)",True,0.6812547674584082,0.031208032974347787,0.4541666666666666,589.4136948371606,16.619464589697547,61.77486515045166
Berlin,127838,26,"(299, 300, 20)",True,0.5268755770662866,0.062119511091082706,0.3360416221224432,51.68778035580565,16.650056397960217,41.511154890060425
Madrid,121032,26,"(374, 375, 28)",True,0.6645285940106856,0.1811584231633668,0.05092592592592592,718.0658096968069,16.10980218917194,67.74575996398926
Paris,134562,26,"(323, 324, 16)",True,0.41345544722309513,0.110413119754361,0.5927280113751776,429.75810453116145,17.451208822281924,75.15148282051086
