fold,intercept,pred_global,pred_target_lst_mean_celsius_mediterranean_dry-summer_(csa),pred_target_lst_mean_celsius_temperate_oceanic_(cfb)
1,-0.762827633628234,0.20123431992648194,0.13688934016802135,0.6803608284542508
2,-1.1759129700329538,0.16048223245900953,0.19569780715527663,0.6709287928126444
3,-0.7706252536429616,0.36896985563701984,-0.08233232727408674,0.7333245777285469
4,-1.0861727145577618,0.1585111206544268,0.18862899003505829,0.6803419319373513
5,-0.9935278401560694,0.421833033519847,-0.019122483540408075,0.6206295010747053
