fold,r2_raw,rmse_raw,mae_raw,n_test,climate_zone
1,0.7736846191497477,1.9559289028492484,1.3501077105638482,4035,Mediterranean dry-summer (Csa)
2,0.8969122157737421,1.5993554943078017,1.2184682738092547,4035,Mediterranean dry-summer (Csa)
3,0.829794252048095,0.8523291417645679,0.6625733869023984,4034,Mediterranean dry-summer (Csa)
4,0.9407129599988852,1.0655704154359413,0.758748226388153,4034,Mediterranean dry-summer (Csa)
5,0.9619434790728728,0.5950954370287109,0.46654746472291014,4034,Mediterranean dry-summer (Csa)
