fold,r2_raw,rmse_raw,mae_raw,n_test,climate_zone
1,0.9391719064493719,0.4549832191306645,0.3242073972970668,4035,Temperate oceanic (Cfb)
2,0.8475314739465878,0.49617643433443237,0.38515855572520347,4035,Temperate oceanic (Cfb)
3,0.8714833098164843,0.4472065942956022,0.3367368211246394,4034,Temperate oceanic (Cfb)
4,0.8159589799288058,0.445803358369557,0.3308822568591516,4034,Temperate oceanic (Cfb)
5,0.615344035260027,0.8483345397579307,0.628729935911567,4034,Temperate oceanic (Cfb)
