feature,gain,weight,cover
ss_building_mean_scaled,0.0006746159294496784,64.0,3849.3525390625
gee_slope_scaled,0.0006548167331048156,462.0,3739.166015625
bld_age_pre1950_share_scaled,0.0006524877150612654,99.0,5138.244140625
ss_beautiful_mean_scaled,0.0005992404836905927,95.0,8164.4462890625
bld_height_range_scaled,0.0005615358558088726,27.0,13046.216796875
vox_evapotranspiration_scaled,0.0005486208965044951,141.0,4413.76123046875
derived_ventilation_proxy_scaled,0.0005441185020271838,92.0,9960.8310546875
ss_sidewalk_mean_scaled,0.0005227640454820149,66.0,2947.913818359375
vox_urban_heat_island_scaled,0.0005001967056011483,145.0,5325.20703125
ss_road_mean_scaled,0.00048166425741943335,113.0,5291.81298828125
ss_safe_mean_scaled,0.0004434221660582355,63.0,3275.14501953125
urb_population_popsum_density_scaled,0.00043507508282934635,38.0,6696.33984375
urb_street_orientation_index_scaled,0.00043292502662935797,34.0,9082.900390625
bld_total_footprint_area_scaled,0.0004212553735879308,52.0,7606.1259765625
bld_frontal_area_density_ew_scaled,0.00042046670466584324,46.0,314.1624755859375
ss_depressing_mean_scaled,0.0004142340759913316,57.0,2486.479248046875
ss_vegetation_mean_scaled,0.00036110613325140696,96.0,11636.2822265625
vox_solar_contrast_scaled,0.0003511756437160226,120.0,6316.70654296875
bld_far_scaled,0.0003462614896215772,42.0,12745.736328125
bld_compactness_weighted_scaled,0.0003387281582923651,53.0,2266.933349609375
ss_sky_mean_scaled,0.00032063567362885267,84.0,4261.1142578125
bld_canyon_width_mean_scaled,0.00030790247921968,30.0,4119.3681640625
ss_boring_mean_scaled,0.0002817646583917822,59.0,5461.03173828125
ss_image_count_scaled,0.0002723540337951475,63.0,6653.025390625
ss_wealthy_mean_scaled,0.0002719915154151245,73.0,3880.978515625
urb_streetview_road_view_scaled,0.0002660768163713034,22.0,15805.73046875
urb_streetview_building_view_scaled,0.00025596698932564224,11.0,15113.599609375
urb_streetview_visual_complexity_mean_scaled,0.00024965916951324134,19.0,9392.4921875
urb_streetview_sky_view_scaled,0.0002353334372066538,11.0,7758.80419921875
bld_frontal_area_density_ns_scaled,0.0001856367619983948,52.0,6033.283203125
urb_streetview_green_view_scaled,0.0001537252182858583,9.0,19148.228515625
vox_grid_resolution_m_scaled,0.0,0.0,0.0
