fold,r2_raw,rmse_raw,mae_raw,n_test
1,0.8509563808604479,1.0889538534359273,0.6681027587369218,8069
2,0.6995361336844355,1.023492079942013,0.6385232469324366,8069
3,0.7850397323131533,1.0842355346719303,0.7895616852403178,8069
4,0.8664807822621157,0.5939237781486193,0.45130151577946587,8069
5,0.6270722295985762,0.9403150379113429,0.567533761729975,8068
