fold,r2_raw,rmse_raw,mae_raw,n_test,climate_zone
1,0.6435573770651676,1.5862328838058952,1.0286544372076083,4035,Mediterranean dry-summer (Csa)
2,0.7691573887522514,1.0913844981254175,0.7736468006563396,4035,Mediterranean dry-summer (Csa)
3,0.8637645167020052,0.667294180395174,0.5071045852035173,4034,Mediterranean dry-summer (Csa)
4,0.840964422084227,1.6200362771778318,1.1029691403756996,4034,Mediterranean dry-summer (Csa)
5,0.7056888486178962,0.646924204915957,0.5017712994814948,4034,Mediterranean dry-summer (Csa)
