fold,intercept,pred_global,pred_target_uhi_raw_mediterranean_dry-summer_(csa),pred_target_uhi_raw_temperate_oceanic_(cfb)
1,-0.06263066587356149,-0.1481101154905588,0.5220604826319956,0.8528569537618649
2,-0.028699950117567152,-0.47941643352024343,0.9881620441886856,0.729611425294048
3,-0.08571864773489751,0.05237843011003532,0.4808075956356863,0.7384002623287746
4,-0.1181124945226259,-0.10300200248893583,0.6504277349050742,0.7414618252690394
5,-0.13168778443019624,-0.07781563442173729,0.5727762706469939,0.7643052932915257
