fold,n_train,n_test,r2_z,rmse_z,mae_z,r2_raw,rmse_raw,mae_raw
1,8068,2018,0.5707744131412,0.49379979006020236,0.3449453057837228,0.45389073250847656,1.0503707563075617,0.6528852099009804
2,8069,2017,0.7425276412755051,0.4793876794101458,0.36973275598169386,0.7804761305272645,0.8413597266981501,0.6427750112406265
3,8069,2017,0.6555856952540163,0.6347634370814608,0.4551739061525502,0.7231467537691161,0.9038986862059364,0.6900255062368846
4,8069,2017,0.7137433393039011,0.48080661728099894,0.35838168408768284,0.6629221292944025,1.0793557390754984,0.7193814819050358
5,8069,2017,0.5883255166115327,0.7777550480398968,0.47809904190010716,0.4866166388248371,2.1476326955905423,1.0653249607540978
