fold,n_train,n_test,r2_z,rmse_z,mae_z,r2_raw,rmse_raw,mae_raw
1,32275,8069,0.8248495905827241,0.5092377241976025,0.350812905716741,0.8475384621490156,1.101369207755337,0.6574187466634749
2,32275,8069,0.6623517583755786,0.4394768482156301,0.3056996966642655,0.6513939695334052,1.1024421475982562,0.6630099952926205
3,32275,8069,0.81773619435881,0.4960072762907807,0.37025802786493744,0.7557793378730767,1.1556750617915448,0.8063512381332848
4,32275,8069,0.8210454704311878,0.35005465016874665,0.25562038437640944,0.8720830052543538,0.5813302830475754,0.434105001175337
5,32276,8068,0.7735364439687117,0.4537164679548415,0.31583890401782355,0.6148768614616672,0.9555663005996684,0.5394350005552068
