fold,n_train,n_test,r2_z,rmse_z,mae_z,r2_raw,rmse_raw,mae_raw
1,3763,941,0.6507243967703791,0.5472908413087234,0.40225057025490596,0.7452250295888209,0.7808978334636405,0.5986974172924655
2,3763,941,0.7113232961416178,0.46807644346033184,0.35522123058605504,0.7124079644274942,0.8073582583815914,0.5936716375358844
3,3763,941,0.7871306250680087,0.5838948771934692,0.42906133209954017,0.8348285812462374,1.2950630112707957,0.8977533356349379
4,3763,941,0.7216839896472094,0.5385032539098955,0.40693044227004255,0.6975277160358309,0.975552331586002,0.6957904807296325
5,3764,940,0.6196761787396026,0.5541372171359974,0.42652786814590987,0.6433442573078031,1.2113703538943377,0.8650129734273206
