city,bld_building_count,bld_total_footprint_area,bld_total_wall_surface_area,bld_far,bld_bvd,bld_area_weighted_height,bld_building_coverage_ratio,bld_plan_porosity,bld_height_std_weighted,bld_height_p10,bld_height_p90,bld_height_range,bld_height_relative,bld_aspect_ratio_weighted,bld_compactness_weighted,bld_wall_to_plan_ratio,bld_frontal_area_index,bld_surface_to_volume_ratio,bld_thermal_mass_index,bld_facade_orientation_entropy,bld_canyon_width_mean,bld_courtyard_fraction,bld_area_weighted_building_year,bld_age_pre1950_share,bld_age_1950_1990_share,bld_age_post1990_share,bld_frontal_area_density_ns,bld_frontal_area_density_ew,bld_has_buildings,ss_image_count,ss_building_mean,ss_road_mean,ss_sidewalk_mean,ss_vegetation_mean,ss_sky_mean,ss_water_mean,ss_beautiful_mean,ss_safe_mean,ss_wealthy_mean,ss_lively_mean,ss_boring_mean,ss_depressing_mean,ss_green_view_index_mean,ss_sky_view_index_mean,ss_has_streetscape_data,urb_node_count,urb_edge_count,urb_street_length,urb_network_degree,urb_network_betweenness,urb_network_closeness,urb_population_popsum_density,urb_population_elderly_density,urb_population_youth_density,urb_population_children_density,urb_building_footprint_proportion,urb_building_building_count,urb_streetview_green_view,urb_streetview_sky_view,urb_streetview_building_view,urb_streetview_road_view,urb_streetview_visual_complexity_mean,urb_street_orientation_index,urb_meshedness,urb_connectivity_beta,urb_canyon_ratio,urb_intersection_density,urb_has_network_data,gee_evi,gee_mndwi,gee_ndbi,gee_ndvi,gee_albedo,gee_bare_soil_index,gee_builtup_fraction_remote,gee_canopy_height_mean,gee_distance_to_coast,gee_distance_to_green,gee_distance_to_water,gee_emissivity_mean,gee_emissivity_std,gee_era5_relative_humidity_mean,gee_era5_vpd_mean,gee_era5_wind_speed_mean,gee_era5_wind_speed_p95,gee_land_cover,gee_modis_et_mean,gee_modis_evaporative_fraction,gee_modis_pet_mean,gee_relative_elevation,gee_roof_albedo_proxy,gee_slope,gee_tree_canopy_cover,gee_urban_radiative_index,gee_vegetation_fraction,gee_water_fraction,gee_paved_fraction,gee_impervious_fraction,gee_roof_fraction,gee_tree_canopy_distance,gee_tree_canopy_proximity,gee_dense_vegetation_distance,gee_dense_vegetation_proximity,gee_tree_canopy_fraction_90m,gee_tree_canopy_fraction_150m,gee_tree_canopy_fraction_300m,gee_impervious_fraction_90m,gee_impervious_fraction_150m,gee_impervious_fraction_300m,gee_vegetation_fraction_90m,gee_vegetation_fraction_150m,gee_vegetation_fraction_300m,vox_svf,vox_gvi,vox_solar,vox_solar_daily_summer,vox_solar_winter_peak,vox_solar_direct,vox_solar_diffuse,vox_solar_seasonal_ratio,vox_solar_direct_ratio,vox_solar_availability,vox_solar_annual_kwh,vox_urban_heat_island,vox_evapotranspiration,vox_canyon_heating,vox_building_solar_exposure,vox_green_cooling_potential,vox_shadow_cooling,vox_solar_contrast,vox_building_height_mean,vox_building_height_min,vox_canopy_height_mean,vox_canopy_base_mean,vox_canopy_thickness_mean,vox_built_up_ratio,vox_tree_canopy_ratio,vox_building_volume_sum,vox_canopy_volume_sum,vox_thermal_mass_index,vox_canyon_aspect_ratio,vox_landcover_impervious_ratio,vox_landcover_vegetation_ratio,vox_grid_resolution_m,x,y,derived_building_volume_density,derived_height_to_coverage_ratio,derived_green_cooling_potential,derived_impervious_heat_potential,derived_ventilation_proxy,derived_street_centrality_proxy,derived_impervious_canopy_balance,derived_radiative_vpd_interaction,derived_urban_heat_trap_index,derived_vegetation_cooling_saturation,derived_canyon_sky_openness,gee_impervious_fraction_neighbor_mean_150m,gee_impervious_fraction_neighbor_std_150m,gee_impervious_fraction_neighbor_mean_300m,gee_tree_canopy_cover_neighbor_mean_150m,gee_tree_canopy_cover_neighbor_mean_300m,gee_vegetation_fraction_neighbor_mean_150m,gee_vegetation_fraction_neighbor_mean_300m,derived_ventilation_proxy_neighbor_mean_150m,derived_impervious_spatial_contrast
Amsterdam,0.0,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,30.681142177275433,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,18.723973825104103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,95.28554431885782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.723973825104103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.487804878048781,5.487804878048781,5.487804878048781,5.487804878048781,5.487804878048781,5.487804878048781,5.487804878048781,5.487804878048781,0.0,5.487804878048781,5.487804878048781,5.487804878048781,5.487804878048781,1.5466983938132064,5.487804878048781,5.487804878048781,5.487804878048781,16.18084473527662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.723973825104103,18.723973825104103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athens,0.0,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,99.79179060083284,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,8.09042236763831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,84.05710886377157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09042236763831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6841165972635336,0.6841165972635336,0.6841165972635336,0.6841165972635336,0.6841165972635336,0.6841165972635336,0.6841165972635336,0.6841165972635336,0.0,0.6841165972635336,0.6841165972635336,0.6841165972635336,0.6841165972635336,0.2379535990481856,0.6841165972635336,0.6841165972635336,0.6841165972635336,3.316478286734087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09042236763831,8.09042236763831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barcelona,0.0,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.99881023200476,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,41.00237953599048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,93.63474122546104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.00237953599048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2903033908387864,2.2903033908387864,2.2903033908387864,2.2903033908387864,2.2903033908387864,2.2903033908387864,2.2903033908387864,2.2903033908387864,0.0,2.2903033908387864,2.2903033908387864,2.2903033908387864,2.2903033908387864,0.25282569898869717,2.2903033908387864,2.2903033908387864,2.2903033908387864,8.060678167757288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.00237953599048,41.00237953599048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berlin,0.0,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,100.0,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,34.8750743604997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,94.91374182034504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8750743604997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.149910767400357,8.149910767400357,8.149910767400357,8.149910767400357,8.149910767400357,8.149910767400357,8.149910767400357,8.149910767400357,0.0,8.149910767400357,8.149910767400357,8.149910767400357,8.149910767400357,1.338488994646044,8.149910767400357,8.149910767400357,8.149910767400357,12.849494348602022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8750743604997,34.8750743604997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madrid,0.0,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.66032123735872,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,65.63057703747769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,94.3634741225461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.63057703747769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.706722189173111,2.706722189173111,2.706722189173111,2.706722189173111,2.706722189173111,2.706722189173111,2.706722189173111,2.706722189173111,0.0,2.706722189173111,2.706722189173111,2.706722189173111,2.706722189173111,0.1635930993456276,2.706722189173111,2.706722189173111,2.706722189173111,4.357525282569899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.63057703747769,65.63057703747769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paris,0.0,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,29.4913741820345,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,16.508030933967877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,93.26293872694824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.508030933967877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.517549077929804,5.517549077929804,5.517549077929804,5.517549077929804,5.517549077929804,5.517549077929804,5.517549077929804,5.517549077929804,0.0,5.517549077929804,5.517549077929804,5.517549077929804,5.517549077929804,0.74360499702558,5.517549077929804,5.517549077929804,5.517549077929804,13.221296847114813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.508030933967877,16.508030933967877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
