city,climate_zone,intercept,global_weight,specialist_weight
Amsterdam,Cfb,-0.08852132364382212,-0.1514165830812101,0.7642329850953133
Berlin,Cfb,-0.08852132364382212,-0.1514165830812101,0.7642329850953133
Paris,Cfb,-0.08852132364382212,-0.1514165830812101,0.7642329850953133
Madrid,Csa,-0.08852132364382212,-0.1514165830812101,0.6473924368462876
Barcelona,Csa,-0.08852132364382212,-0.1514165830812101,0.6473924368462876
Athens,Csa,-0.08852132364382212,-0.1514165830812101,0.6473924368462876
