,precision,recall,f1-score,support
0,0.9502282432631424,0.9203582736685969,0.935054773082942,35057.0
1,0.5629989043668806,0.6803480234537544,0.6161356628982528,5287.0
accuracy,0.8889054134443783,0.8889054134443783,0.8889054134443783,0.8889054134443783
macro avg,0.7566135738150115,0.8003531485611757,0.7755952179905974,40344.0
weighted avg,0.899482617773738,0.8889054134443783,0.8932610655788161,40344.0
