fold,auc,f1,precision,recall
1,0.9491805301512645,0.5877520537714712,0.4328932893289329,0.9151162790697674
2,0.923624590581604,0.38617401668653156,0.2529274004683841,0.8161209068010076
3,0.932266578286369,0.6718916993231208,0.5864427860696517,0.786488740617181
4,0.8936492159472722,0.5844636251541308,0.4785461887935386,0.7505938242280285
5,0.857614010989011,0.657397107897664,0.5828402366863905,0.7538265306122449
